study_ID,companion_Type,event_Type,event_Actuator,event_Receiver,time_Seconds,score
0,1,DEATH,PLAYER_ENEMY,PLAYER,84,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,87,-
0,1,NERF,COMPANION,COMPANION_ENEMY,87,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,90,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,94,-
0,1,BUFF,COMPANION,PLAYER_ENEMY,97,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,100,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,105,-
0,1,NERF,COMPANION,COMPANION_ENEMY,107,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,109,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,109,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,112,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,115,-
0,1,NERF,COMPANION,COMPANION_ENEMY,117,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,117,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,118,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,127,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,130,-
0,1,NERF,COMPANION,COMPANION_ENEMY,131,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,133,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,136,-
0,1,NERF,COMPANION,COMPANION_ENEMY,141,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,141,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,141,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,144,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,148,-
0,1,NERF,COMPANION,COMPANION_ENEMY,150,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,151,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,152,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,156,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,156,-
0,1,NERF,COMPANION,COMPANION_ENEMY,161,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,161,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,165,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,168,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,170,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,172,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,175,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,175,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,178,-
0,1,FINAL,-,-,180,346
