"CompOC_BUFF_COMPANION_COMPANION_ENEMY","CompOC_BUFF_COMPANION_PLAYER_ENEMY","CompOC_NERF_COMPANION_COMPANION_ENEMY","CompOC_NERF_COMPANION_PLAYER_ENEMY","CompOF_BUFF_COMPANION_COMPANION_ENEMY","CompOF_BUFF_COMPANION_PLAYER_ENEMY","CompOF_NERF_COMPANION_COMPANION_ENEMY","CompOF_NERF_COMPANION_PLAYER_ENEMY","CompSC_BUFF_COMPANION_COMPANION_ENEMY","CompSC_BUFF_COMPANION_PLAYER_ENEMY","CompSC_NERF_COMPANION_PLAYER_ENEMY","CompSF_BUFF_COMPANION_COMPANION_ENEMY","CompSF_BUFF_COMPANION_PLAYER_ENEMY","CompSF_NERF_COMPANION_COMPANION_ENEMY","CompSF_NERF_COMPANION_PLAYER_ENEMY","CompOC_FINAL","CompOF_FINAL","CompSC_FINAL","CompSF_FINAL","PLAYER_ACCURACY_CompOC","PLAYER_ACCURACY_CompOF","PLAYER_ACCURACY_CompSC","PLAYER_ACCURACY_CompSF","COMPANION_ACCURACY_CompOC","COMPANION_ACCURACY_CompOF","COMPANION_ACCURACY_CompSC","COMPANION_ACCURACY_CompSF","Sex","Age","Occupation","How.often.do.you.play.video.games.","Do.you.enjoy.games.that.offer.companions.to.aid.your.journeys.","CompSC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompSC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompSC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompSC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompSC_EXPERIENCE_RATE","CompSF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompSF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompSF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompSF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompSF_EXPERIENCE_RATE","CompOC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompOC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompOC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompOC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompOC_EXPERIENCE_RATE","CompOF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompOF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompOF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompOF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompOF_EXPERIENCE_RATE","X.I.see.myself.as.a.","OBSERVED_QUADRANT","GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_SC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_SF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_OC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_OF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","IMI_INTEREST_ENJOYMENT_SCORE","CompSC_NERF_COMPANION_COMPANION_ENEMY"
3,12,1,0,2,0,2,12,14,3,0,1,3,14,0,10891,5319,4714,4718,0.807017543859649,0.513833992094862,0.625,0.676156583629893,0.888268156424581,0.786363636363636,0.924643584521385,0.651933701657459,"Masculine",20,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",1,5,2,1,4,3,2,5,1,2,5,2,2,1,4,2,2,5,2,6,"3","3",2,0.2,2.16666666666667,1.16666666666667,1.4,2.16666666666667,1.5,0.6,2,2.83333333333333,1.2,2,5.14285714285714,0
3,12,0,0,2,0,2,13,13,4,0,1,2,12,0,3293,4306,4293,1950,0.773930753564155,0.546875,0.800693240901213,0.747863247863248,0.95271629778672,0.93431855500821,0.856088560885609,0.747292418772563,"Feminine",26,"Student;Worker","I do not play video games.","I am not familiar with these games and/or have no formed opinion on them.",3,3,3,3,4,3,3,1,1,4,3,3,3,3,4,3,3,3,3,4,"1","0",0,0.4,2.33333333333333,0.833333333333333,0.6,1.5,0.5,0,2.16666666666667,0.333333333333333,0.2,2.5,7,0
3,13,1,0,1,0,2,13,13,3,0,1,3,13,0,12629,5779,10271,6297,0.840551181102362,0.366795366795367,0.805486284289277,0.67032967032967,0.881679389312977,0.805970149253731,0.935672514619883,0.662921348314607,"Masculine",26,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,5,3,2,4,5,1,1,5,2,5,3,1,1,1,2,3,5,1,6,"3","1",2.16666666666667,0.6,2,0.5,0.2,1,0.166666666666667,0.4,3,3.16666666666667,1.2,2.66666666666667,6.28571428571429,0
2,13,1,0,1,0,2,13,14,3,0,1,3,13,0,8798,7570,11402,5688,0.778846153846154,0.408759124087591,0.803879310344828,0.689969604863222,0.833922261484099,0.834101382488479,0.951515151515152,0.620689655172414,"Masculine",20,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",2,4,3,3,5,4,2,3,4,2,5,2,1,1,3,2,3,5,1,5,"1","1",2.33333333333333,0.8,1.83333333333333,0,1.6,1.5,1.33333333333333,1,1.33333333333333,2,0.6,1.83333333333333,5.71428571428571,0
2,13,1,0,1,0,2,13,13,4,0,1,2,14,0,4657,4591,8314,3117,0.843462246777164,0.412639405204461,0.783549783549784,0.656441717791411,0.899109792284866,0.771573604060914,0.933774834437086,0.64968152866242,"Feminine",21,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,2,1,4,4,5,1,1,2,3,4,2,2,1,2,2,4,5,1,7,"3","1",0.5,1,1,0.833333333333333,0.6,1.33333333333333,0,1,1.5,3.66666666666667,0.6,3.5,7,0
3,12,1,0,3,0,0,13,14,4,0,1,2,12,0,6648,3680,5628,3250,0.89409984871407,0.375968992248062,0.815566835871404,0.711491442542787,0.875968992248062,0.95580589254766,0.975460122699387,0.598802395209581,"Masculine",23,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,4,3,1,5,4,4,2,1,3,1,4,2,1,4,1,3,4,2,6,"3","0",1.16666666666667,0.8,2.16666666666667,0.5,1,1.66666666666667,0.5,0.4,1.66666666666667,2.83333333333333,0.8,2.33333333333333,4.71428571428571,0
2,12,1,0,3,0,1,13,12,4,0,1,2,14,0,8186,10111,9200,8176,0.845991561181435,0.540925266903915,0.92128801431127,0.847305389221557,0.950877192982456,0.8515625,0.970703125,0.651428571428571,"Masculine",20,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",1,5,5,1,4,5,1,1,4,3,5,2,1,1,2,4,1,4,1,6,"0","0",2.33333333333333,1.4,2.33333333333333,0.333333333333333,3,2.5,0,2.6,2.16666666666667,3.33333333333333,1,2.33333333333333,6.14285714285714,0
3,12,0,0,2,0,2,13,14,3,0,1,3,14,0,10132,4607,8656,6904,0.919398907103825,0.59349593495935,0.909722222222222,0.794749403341289,0.934131736526946,0.809090909090909,0.950854700854701,0.620111731843575,"Masculine",22,"Student","I make some time in my schedule to play video games.","I am not familiar with these games and/or have no formed opinion on them.",1,5,5,1,7,5,1,1,3,4,5,3,1,1,7,1,2,4,3,4,"1","0",2.33333333333333,1,3.33333333333333,1.66666666666667,0.8,2.66666666666667,2.33333333333333,1.6,3.33333333333333,2.16666666666667,1.2,2.83333333333333,6.42857142857143,0
3,14,0,0,1,0,2,13,13,4,0,1,3,14,0,10832,14335,12187,7591,0.906976744186046,0.596491228070175,0.838815789473684,0.79559748427673,0.945525291828794,0.846743295019157,0.94392523364486,0.508670520231214,"Masculine",21,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",1,4,2,1,6,5,1,2,3,7,5,3,1,1,6,4,2,4,1,7,"3","0",3.16666666666667,2.2,3.16666666666667,3,1.6,3.66666666666667,2.83333333333333,2,3.66666666666667,3.5,1.6,4,6.57142857142857,0
1,12,2,0,2,0,2,13,13,4,0,1,2,14,0,6366,13299,13950,3022,0.946564885496183,0.453924914675768,0.770114942528736,0.712230215827338,0.854237288135593,0.857142857142857,0.969439728353141,0.757333333333333,"Masculine",25,"Student","I play video games occasionally when the opportunity presents itself.","I enjoy them and have played/watched others play them multiple times.",3,2,3,3,3,4,1,1,3,2,5,1,2,1,2,1,2,5,1,6,"1","1",0.5,0,1.33333333333333,0.166666666666667,0.4,1,0,1.2,1.16666666666667,1.33333333333333,0.4,1.83333333333333,4.28571428571429,0
